------

2018.6.26 16:35:24 OnePlus3_Unprocessed

    Hz           dB
    25         -7.9
    32         -5.0
    40         -4.3
    50         -4.0
    63         -9.0
    80         -5.8
   100         -1.4
   125         -1.2
   160         -0.6
   200         -0.5
   250         -1.3
   315          0.2
   400         -0.9
   500         -0.1
   630          0.0
   800         -0.7
  1000          0.0
  1250          0.8
  1600          1.1
  2000          2.5
  2500          3.7
  3150          5.0
  4000          6.9
  5000          7.1
  6300          9.2
  8000         10.5
 10000          9.8
 12500          4.6
 16000         12.0
------

2018.6.26 16:57:40 OnePlus3_Unprocessed

    Hz           dB
    25         -7.9
    32         -5.0
    40         -4.3
    50         -4.0
    63         -9.0
    80         -5.8
   100         -1.4
   125         -1.2
   160         -0.6
   200         -0.5
   250         -1.3
   315          0.2
   400         -0.9
   500         -0.1
   630          0.0
   800         -0.7
  1000          0.0
  1250          0.8
  1600          1.1
  2000          2.5
  2500          3.7
  3150          5.0
  4000          6.9
  5000          7.1
  6300          9.2
  8000         10.5
 10000          9.8
 12500          4.6
 16000         12.0
------

2018.6.26 17:30:14 OnePlus3_Calibrated

    Hz           dB
    25        -25.2
    32        -24.4
    40        -25.3
    50        -28.7
    63        -27.9
    80        -24.0
   100        -18.0
   125        -16.0
   160        -13.4
   200        -11.3
   250        -10.2
   315         -7.0
   400         -6.5
   500         -4.5
   630         -2.8
   800         -2.0
  1000          0.0
  1250         -0.1
  1600         -0.6
  2000         -0.1
  2500          0.7
  3150          0.7
  4000          1.4
  5000         -0.5
  6300          0.1
  8000         -2.1
 10000         -8.7
 12500         -6.4
 16000         -1.1
------

2018.6.26 17:36:43 OnePlus3_Calibrated2

    Hz           dB
    25        -24.0
    32        -23.6
    40        -24.9
    50        -28.0
    63        -27.5
    80        -23.4
   100        -17.6
   125        -15.4
   160        -13.0
   200        -10.7
   250         -9.9
   315         -6.6
   400         -6.0
   500         -4.1
   630         -2.2
   800          8.4
  1000          0.0
  1250          0.1
  1600         -0.5
  2000          0.3
  2500          0.8
  3150          1.2
  4000          2.1
  5000          0.7
  6300         -2.9
  8000        -36.9
 10000        -42.6
 12500        -44.1
 16000        -40.9
------

2018.6.26 17:37:34 OnePlus3_Calibrated1

    Hz           dB
    25        -25.2
    32        -24.4
    40        -25.3
    50        -28.7
    63        -27.9
    80        -24.0
   100        -18.0
   125        -16.0
   160        -13.4
   200        -11.3
   250        -10.2
   315         -7.0
   400         -6.5
   500         -4.5
   630         -2.8
   800         -2.0
  1000          0.0
  1250         -0.1
  1600         -0.6
  2000         -0.1
  2500          0.7
  3150          0.7
  4000          1.4
  5000         -0.5
  6300          0.1
  8000         -2.1
 10000         -8.7
 12500         -6.4
 16000         -1.1
------

2018.6.26 17:41:25 OnePlus3_Calibrated1

    Hz           dB
    25        -25.2
    32        -24.4
    40        -25.3
    50        -28.7
    63        -27.9
    80        -24.0
   100        -18.0
   125        -16.0
   160        -13.4
   200        -11.3
   250        -10.2
   315         -7.0
   400         -6.5
   500         -4.5
   630         -2.8
   800         -2.0
  1000          0.0
  1250         -0.1
  1600         -0.6
  2000         -0.1
  2500          0.7
  3150          0.7
  4000          1.4
  5000         -0.5
  6300          0.1
  8000         -2.1
 10000         -8.7
 12500         -6.4
 16000         -1.1
